density_radius_cee,min_density_cee,outlier_distance_cee,seeding_distance_cee,w_z_cee,R1_ee,R2_ee,R3_ee
3.0589808309372364,0.01,9.60232732020635,1.0,1.0,0.08655113026200927,0.03435570897675302,472.42499999999995
1.7718602678983224,0.025915233996276196,17.179270233486605,1.7574748292985893,1.0,5.518479129980878,0.1362768331957723,313.484375
3.1303243234132614,0.5477253349078187,3.0,1.0,1.0,0.005533319678002501,1.0879459727596985,96.25625
1.3104092202853352,0.01,3.0,1.0,0.7267982647055236,3.245733779973694,0.04280285514388439,437.05937500000005
1.0,2.151157889590867,3.0,1.0,0.4,0.0,1.9532990829986308,6.034375
6.0,0.01,5.9788153812143605,1.0,1.0,0.08655113026200927,0.034008550764870235,473.29999999999995
2.578844427199537,0.45855740090981345,20.0,1.0,1.0,0.005533319678002501,1.1832722854627362,76.2125
5.913703674722576,0.01,4.2718355435638,1.0,0.728465965642644,3.2336741678789904,0.04194279564220638,439.40625000000006
2.1625503302407445,0.08065614349696407,11.358121614900423,1.0,0.7315331897940712,2.8909565095526992,0.3957521675345377,229.4375
1.082498128783971,1.4126748024335543,20.0,1.0,0.8023055639921925,0.0,1.9216389564017422,24.0125
4.780251321598023,0.01,9.488119823681378,1.0,0.7174520476808441,4.222491527160681,0.043591704327255655,434.25624999999997
2.3471548043998016,0.01,20.0,4.477767850735417,0.6760475824905208,5.22806308938716,0.3534584585422049,63.159375
1.7780602845563727,0.09729712878153529,18.864416617462794,1.0,0.8517312473159906,1.9149096428361219,0.5961532844643412,156.4375
6.0,0.01,11.510031950662807,1.0,1.0,0.08655113026200927,0.034008550764870235,473.29999999999995
4.456397191269149,0.01,16.082594633299898,1.0,1.0,0.08655113026200927,0.0340839814792961,473.11875
6.0,0.01,20.0,1.0,1.0,0.08655113026200927,0.034008550764870235,473.29999999999995
6.0,0.01,20.0,1.0,1.0,0.08655113026200927,0.034008550764870235,473.29999999999995
6.0,0.01,7.687429074646528,1.0,1.0,0.08655113026200927,0.034008550764870235,473.29999999999995
5.44440895465174,0.01,14.022452366498857,1.0,1.0,0.08655113026200927,0.03402479808819207,473.271875
1.0,0.01,20.0,1.0,0.7243925584097678,3.24943635521203,0.04293639800188163,436.75624999999997
1.0,0.10996518580019343,20.0,1.0,0.5475488208007125,2.619050780961607,0.7519338676474948,101.8
1.0,1.9481839519049509,3.0,20.0,0.7704006484691149,0.14366498019692836,1.2436946199971075,0.484375
3.1167229755918378,0.01,12.902137642711248,1.0,0.8609315762877122,2.6753058966161793,0.039270277146745046,445.4625
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,0.325750125433456,0.9356302292799076,0.6499999999999999
5.403478954317756,0.2596706005399479,9.118521769761372,1.0,1.0,0.07967568540507844,0.29212191098375806,349.45
1.0,0.01,11.672661165910661,3.884778807068857,0.4,5.446180285811943,0.3246151467025746,68.85624999999999
6.0,0.01,20.0,1.0,1.0,0.08655113026200927,0.034008550764870235,473.29999999999995
2.400652903131241,0.01,3.0,1.0,0.9037985312686893,1.3948318294807425,0.03671916128406147,452.028125
3.8030080806323445,0.01,6.23218325895089,1.0,0.7102259083824111,4.2248589933823615,0.04373389203314474,433.790625
4.7268664409842005,0.01,13.74349900487358,1.0,1.0,0.08655113026200927,0.034075868929064494,473.134375
4.846048205462394,0.01,7.204518279019204,1.0,1.0,0.08655113026200927,0.034062378300478646,473.16874999999993
1.0,0.05946569440294752,8.248384105588991,1.5808213975140202,0.7453599063619197,4.857808819420765,0.40040572416604153,177.39374999999998
2.726299958717009,0.01,20.0,1.0,1.0,0.08655113026200927,0.03444273582577071,472.22499999999997
1.0,0.09398296192016707,20.0,1.0,0.7258069771806297,2.3331457636627233,0.6652673240632252,123.684375
4.396200737355958,0.01,15.855615014200705,1.0,1.0,0.08655113026200927,0.03410590301872038,473.07812499999994
2.650549699567416,0.5116598328644327,7.40076889853631,1.0,1.0,0.005533319678002501,1.200277499282744,75.2
1.2869547331167217,0.01,15.266282054587077,1.0,0.48414719275751783,4.489388751269241,0.046517301490590794,426.72187499999995
1.0,1.8342069736329736,3.0,5.703272385543629,0.4,0.19756146119538048,1.0470984711398355,0.13125
1.0,0.01,3.0,1.0,1.0,0.08655113026200927,0.03494280447771563,470.82187500000003
6.0,0.03195938861360239,3.0,1.0,0.9679062569655505,0.5924374673995174,0.04528975083533107,453.54687499999994
1.3717917166218205,0.01,20.0,4.670332144962975,0.4300138743545792,5.132409895938035,0.3721375214989944,47.690625
5.549855486812473,0.01,10.229025056608233,1.0,0.8317438253287133,2.7922353392371173,0.03941345209366133,444.053125
2.9854829788090718,0.01,3.0,1.0,1.0,0.08655113026200927,0.03436052814792608,472.39062499999994
2.889724325161068,0.01,20.0,1.0,1.0,0.08655113026200927,0.03438297379284608,472.35625
1.0,1.0932581052658665,16.66706315262652,1.0,0.6655429458750581,0.0047794445282673195,1.7385979119019985,24.021875
