density_radius_cee,min_density_cee,outlier_distance_cee,seeding_distance_cee,w_z_cee,density_radius_che,min_density_che,outlier_distance_che,seeding_distance_che,w_z_che,F1_purity,F2_efficiency_deficit,F3_fragmentation
3.5944061235281737,3.0,10.0,3.0,0.7137864910017738,3.4188532159328737,2.5,4.167916818905651,3.0313100308021754,0.4580077668927831,0.25462300967281903,0.26732594043882196,8.288
2.0575640123214356,3.0,10.0,3.000008301688877,0.6,8.0,2.5,11.84229986419145,2.5,0.4,0.17726982094423563,0.203015011244071,36.608
4.008698890317571,3.001338579391709,8.781675334598116,3.0,0.6,8.0,2.5,3.957990710919697,6.024456558820491,0.4,0.3527708000699805,0.2167844913631664,14.116
3.767329674037455,3.083797307013407,10.0,3.0,0.7355428967472868,8.0,2.5,15.0,2.885068690992028,0.4,0.34531846218090845,0.19107562077695509,30.529
3.5955717167075463,3.005438505677711,10.0,3.0,0.7341944125775245,8.0,2.5,15.0,2.6923941104648375,0.4,0.31597933408373846,0.18760695469530744,34.736
3.629630666774835,3.00720140375093,8.100953771822457,3.0058597952466215,0.7732884377620204,4.710745617412363,2.5,13.404969539373933,3.220362035159352,0.4,0.28780097498783347,0.23632411935363284,10.556
3.695760303681115,3.0,10.0,3.0,0.6,8.0,2.5,9.994114720188339,3.858276160478102,0.4,0.3360305534388346,0.21946240034241865,13.704
3.9019503941668834,3.0060668830765693,10.0,3.0,0.6038250644845818,8.0,2.5,12.998455401244634,2.5,0.4,0.35328436607435504,0.17866268220120082,41.14
3.7680635548060684,3.0,10.0,3.0,0.6890036902828985,8.0,2.5,15.0,3.3609141208694804,0.4,0.34729690716107725,0.20045223906051002,21.051
3.6710410806774743,3.0,9.304300106885936,3.0,0.7042118404085904,8.0,2.5,4.71769059970876,3.07608852986678,0.4,0.3355558327547891,0.19649822204950318,26.029
3.8227409129284027,3.0,9.315664960218207,3.0,0.6033128989542411,8.0,2.5,12.634120588762269,2.812348151121247,0.41274307175109853,0.3533552265363061,0.18501255824625343,32.875
3.5705228977695325,3.0038347890869694,7.610477703762154,3.0,0.7163562793219119,2.0,2.5,2.5,2.5,0.40968533350788494,0.19641976738692288,0.3077777625391219,6.58
3.84245758205171,3.0200192638366836,9.604150542217779,3.0,0.6,8.0,2.5,15.0,3.7088001891606206,0.4,0.35027978177008745,0.210447617621754,15.861
4.523706137831287,3.0,9.775365021725877,3.0,0.7068989551055973,8.0,2.5,15.0,2.5,0.4,0.3885545003830706,0.1721945528707802,44.985
3.7627168721559037,3.0021858465116926,10.0,3.0,0.6831992307781134,8.0,2.5,15.0,2.7123054180551036,0.4,0.34532057414716366,0.1813804243771266,34.925
3.850665167371829,3.0,9.940896048945564,3.0,0.6,8.0,2.5,3.236058516051445,2.8794098821521406,0.4,0.3561843085676036,0.18671731826697827,30.496
3.849283094587123,3.0,9.955099517908385,3.0,0.6,8.0,2.5,10.666647265558685,2.5,0.4,0.3499510225155049,0.17885777793641314,40.913
3.7234538066251988,3.0,8.922431869437128,3.03729993008002,0.6,2.0,2.5,2.5,2.5,0.8145302943186983,0.22542105753143435,0.3064140832462463,6.72
3.973347235360779,3.0,10.0,3.0,0.6165181232465992,8.0,2.5,9.799430412767675,2.528720091987129,0.4,0.35776122425925383,0.17861135568561695,41.06
3.830466451375828,3.0,8.549128881563268,3.0,0.6221075902801644,7.9274250355423375,2.5,11.926444748318836,3.102822723680499,0.4,0.3586913045062967,0.19451983827579306,25.687
4.124249997025595,3.0,9.49973545463858,3.0,0.6219064151267448,8.0,2.5,12.193341077826101,2.978262551093847,0.4,0.3741038428946084,0.18441598813973747,29.549
3.9235584035298032,3.0,10.0,3.0,0.6,8.0,2.5,13.184405824367913,3.5224308824254216,0.4,0.3572201539362902,0.20608176918268428,18.525
4.043603585641311,3.0,9.545685477940777,3.00020768118185,0.6,8.0,2.5,15.0,3.1108159563434326,0.4,0.36659762622613223,0.1916203462099784,26.734
4.120021989500566,3.0,8.380530135415347,3.000048697242439,0.6969152662908477,8.0,2.5,2.5,5.258916100404966,0.4,0.371699250158631,0.17587686816938092,42.887
3.6177709157785327,3.0135669743559736,6.823057128825042,3.008470251351208,0.7508676000857294,2.0,2.5,9.49575898799991,2.5,0.4628160249924882,0.20121976287706975,0.30640645775947684,6.929
3.5866568418962617,3.0,8.381102571834958,3.0,0.6,6.627927094474142,2.5,3.3772953058753536,11.583500743441448,0.4,0.31893486741547367,0.21883914167227986,14.423
3.608773632237007,3.020600166082173,8.776385279418452,3.0,0.7817822532674279,7.402590383055435,2.5,6.092235285416886,2.7972425540297006,0.4,0.3169771384006924,0.19899167668400766,28.655
3.580786093826693,3.0,10.0,3.0,0.6,8.0,2.5,15.0,2.5,0.4,0.32137090451821,0.18537400156954603,39.479
3.4496166839965743,3.0336452497281963,10.0,3.000213829788304,0.7250706093912053,8.0,2.5,15.0,3.172737003329698,0.4,0.2943101332429336,0.20485438338980413,22.956
3.8935280018804588,3.003213648949613,10.0,3.0,0.6955561188440235,8.0,2.5,15.0,3.025636313457459,0.4,0.3628696303860701,0.1899287772307388,28.152
