density_radius_che,min_density_che,outlier_distance_che,seeding_distance_che,w_z_che,R1_pi,R2_pi,R3_pi
2.220303973947028,1.3644193698109124,10.254847012191986,4.616182026431709,0.5013096226780609,0.6894891845737915,0.8661338930130184,0.865757511186874
1.0,2.3189643272422384,30.0,1.181440606072848,0.35298747343216197,0.206523465157812,1.211539157784807,0.9126358406136801
1.1972517786308834,4.5653808612181574,1.0,28.9285608832204,1.0,0.206523465157812,1.4342639809288436,0.5020242914979757
1.0,2.4398163123348424,30.0,1.0,0.34573736121239007,0.206523465157812,1.2253024739279899,0.8708715107607075
1.0,1.6325112809326625,4.688139897073658,15.29748110744849,0.4528893907915186,0.6156870947091905,0.9294239030294603,0.6974216918815258
1.0,0.4150040913078483,1.0,28.106901989132567,0.8453460513475171,0.206523465157812,0.6427558247767592,5.559343703388025
1.0,2.920756649483926,14.507271761187775,2.635096166352774,0.9054545627764206,0.26919311765682286,1.267111389010709,0.7276795226933732
1.1418688414422684,0.6317506643408731,19.835760229816024,6.137253745445504,0.7265385667019477,0.9601075438117223,0.7497184720336963,1.605369699552525
1.0,0.01,21.255521832212402,6.781192908780596,0.2,1.2482763204449479,0.7293301424192437,3.486682292776476
1.0,2.856946909054846,30.0,1.0,0.7844169919831069,0.206523465157812,1.2785660554293672,0.75324952056254
2.927807136330942,0.7927540472202128,5.31768774257645,8.397766651940929,0.6129739779934814,0.921314673889847,0.7499612788729887,1.3809929682505862
1.0,3.2596685358174025,14.581007595229595,1.0,0.895841705911467,0.206523465157812,1.319963379611499,0.672490943959088
1.0,0.01,1.9672808793159255,13.029427974673442,0.4294442497902509,0.8388351305133077,0.3173566386092397,17.717238440230133
2.813960788286061,0.01,8.001889203623207,6.023677165616945,0.2,1.2065418653655304,0.6835350222704815,3.7924568506285956
1.0,1.780203082007189,1.0,30.0,0.4410000982027662,0.206523465157812,1.1301154648026255,1.1749414020882167
3.990928580644259,0.01,4.39517556277147,17.10562298147116,0.31647686979334333,1.1994401072017864,0.628912966799435,6.062433411463883
1.0,0.10493355955351556,3.015477062119562,3.536749112613509,0.38287425712955664,1.292141073640579,0.37272233965719004,11.03196249733646
1.172939117174673,0.01,21.319440868008574,3.7109570518704103,0.7292630494991441,1.2944755193421391,0.3682203791322141,12.801193266567228
1.0,0.1810801065987881,15.00094645756176,1.0,0.8183145438174861,0.20709796593788607,0.4032231983323576,12.025783081184743
1.0,2.4564002708433983,30.0,1.0,0.6777421643108503,0.206523465157812,1.2274123518838267,0.8651182612401449
